AGCSLS,ABS工程塑料属于热塑性树脂（ ）。,"正确"
AHYBDW,ABS回油泵多为齿轮泵。（ ）,"错误"
AKYYCB,ATF可用于CVT变速器（ ）。,"错误"
ALSCGQ,ABS轮速传感器极轴形状不同， 传感头相对于齿圈的安装方式也不同（ ）,"正确"
AXTCY_,ABS系统处于“减压” 状态时， 循环式制动压力调节器使轮缸与回油通道或储能器相连。（ ）,"正确"
EDESGJ,EPS的ECU是根据车速传感器的信号控制电磁阀的输入电流的。（ ）。,"正确"
EDJSJG,EPS 的减速机构主要由蜗轮蜗杆组成。（ ）,"正确"
EJSJGZ,EPS 减速机构中， 蜗杆是输入元件 。（ ）,"正确"
IZDSTG,I/M制度是通过对在用车的检测，确定其尾气排放污染严重的原因，再针对性地采取措施（ ）。,"正确"
UGLBLK,UV过滤玻璃可有效隔绝热量（ ）。,"错误"
VDZWYS,VTEC的中文意思是废气再循环系统。（ ）。,"错误"
VKZXTY,VTEC控制系统由传感器、控制部分和开关组成。（ ）。,"错误"
VXTYYK,VVT-i系统用于控制进气凸轮轴在50°范围内调整凸轮轴转角。,"正确"
_KZCLZ, ABS 控制车轮在起步、加速、滑溜路面行驶时防止滑转。（ ）,"错误"
BDJQHB,表达机器或部件的构造、作用和性能的图样称为液压系统图。（ ）,"错误"
BDTFWP,半导体分为P型、N型和H型（ ）。,"错误"
BFBDXZ,百分表的小指 针范围是 0 ~ 3 mm，表示可以测量的范围在 3mm以内 （ ）。,"正确"
BFBDXZ,百分表的小指 针范围是 0 ~ 3 mm，表示可以测量的范围在 3 m m 以内 （ ）。,"正确"
BFBKYC,百分表可以测量工件的长度。,"错误"
BLSYLB,泵轮是液力变矩器的变矩元件。（ ）。,"错误"
BNYYBK,不能用游标卡尺测量铸锻毛蚽件，以免失去精度（ ）。,"正确"
BSGQTX,变速杆球头限位销磨损松旷、脱落或球头磨损过量，将会引起变速器换挡困难。,"正确"
BSQCLD,变速器齿轮的工作面腐蚀斑点及剥落面积超过齿面的2/3时，应予更换。,"正确"
BSQCLY,变速器齿轮油变稀或品质恶化，会引起变速器漏油。,"正确"
BTDRHY,不同的润滑油脂要避免混用（ ）。,"正确"
BXHXTG,拔下活性炭罐上的真空软管，检查软管内有无真空吸力，若系统工作正常，在发动机怠速运转中电磁阀应打开，软管内有真空吸力。（ ）。,"正确"
CDXDGY,传动系的功用是将发动机动力传给驱动轮（ ）。,"正确"
CDZSDZ,充电指示灯在发动机启动后应立即熄灭（ ）。,"正确"
