_DCYJD,（     ）对柴油机点火提前角有影响。,"压缩比","曲轴转速"
AXTJGD,ABS 系统警告灯亮，且不能正常工作时，应检查（  ） 。,"检查 ABS 系统的易熔线、连接器有无损坏","检查 ABS 电脑是否损坏","检查轮速传感器性能是否完好"
EDCFJC,EGR电磁阀检测方法正确的是（     ）。,"直流电压档","电阻档"
RYRXTD,Rl2与Rl34a系统的（     ）不能混用。,"制冷部件","冷冻机油","干燥"," 软管"
VZYDJG,VTEC 作用的结果是 ，发动机在高速状态下延长进、排气门同时开启的“气门重叠" 时间，使发动机的（     ）得到提高。,"功率","转矩"
BSQJY_,变速器具有(     )的作用。,"变速器轴、轴承的轴向间隙过大","倒车","中断动力"
BSQXLG,变速器修理工艺过程检验，变速器壳体遇（  ）时，应换用新件。,"各结合平面发生明显的翘曲变形","出现裂纹","输入轴轴承座孔磨损严重","输出轴轴承配合松旷"
BSYBYK,扳手一般有开口扳手、（  ）、套筒扳手、（  ）、管子扳手、扭力扳手和专用扳手等,"梅花扳手","活动扳手"
BZCGQJ,爆震传感器检测方法正确的是（     ）。,"应用直流电压档检测","示波器显示波形为一突变波形"
BZCGQJ,爆震传感器检测检测方法正确的是（     ）。,"应用直流电压档检测","示波器显示波形为一突变波形"
BZRGZY,不制热故障应排除（     ）。,"送风系统故障","水路系统故障","加热系统故障"
CDXY_Z,传动系由（  ）、主减速器、差速器和半轴等组成。,"离合器","变速器","传动轴"
CDXY_Z,传动系由(     )、主减速器、差速器和半轴等组成。,"离合器","变速器","传动轴"
CDZDXL,传动轴的修理工艺中的检验规程规定，当（  ）应予以更换。,"传动轴出现裂纹","径向圆跳动超过 0.2mm"
CDZDXL,传动轴的修理工艺中的检验规程规定，当(     )应予以更换。,"传动轴出现裂纹","径向圆跳动超过0.2mm"
CLJSDA,车辆技术档案的主要内容有（     ）。,"车辆的基本情况和主要性能","运行使用情况","检测维修情况","事故处理情况"
CLSZZX,车辆设置主销后倾角的目的是（  ） 。,"改善行驶方向稳定性","提高转向回正能力"
CLZLMS,车轮在路面上的附着系数取决于（     ）等因素。,"道路的材料","路面状况","胎面花纹和材料","汽车速度"
CSBKCM,车身包括车门、（  ）、（  ）、内外饰件、附件、（  ）及车前各钣金件。,"车窗","车锁","座椅"
CSCGQZ,车速传感器主要有（     ）。,"舌簧开关型","光电耦合型"
