_BNYLZ,（ ）不能用来做研具材料。,"高碳钢"
_BSDKK,（ ）扳手的开口尺寸可以在一定范围内自由调节，用于拆装不规则的带有棱角的螺母或螺栓。,"活动"
_BSLWK,（ ）不是螺纹孔的修理方法。,"更换法"
_BSNXS,（ ）扳手能显示转矩的大小。,"扭力"
_BSSYY,（ ）扳手适用于拆装位置狭小、特别隐蔽的螺母或螺栓。,"开口"
_DLTZG,（ ）的轮胎在干燥路面能获得最大驱动力。,"横向花纹"
_DLTZJ,（ ）的轮胎在积水路面，水排不出去，就产生水质，引起打滑，造成危险，只在赛车上使用。,"无花纹"
_DLTZP,（ ）的轮胎在普通汽车上无法使用，只在赛车上使用。,"无花纹"
_DZYSK,（ ）的作用是控制点火线圈一次侧电路的通断，配合点火线圈完成升压任务,"断电器"
_JJSWF,（ ）将金属物放在蓄电池壳体上。,"禁止"
_JYLHD,（ ）具有良好的机械安定性、胶体安定性、防锈性、氧化安定性和抗水性，适用在30～120"C温度范围内使用。,"通用锂基润滑脂"
_JYYDY,（ ）将油液的压力转换为机械能带动负载运动。,"液压缸"
_NSXC_,（ ）耐水性差，但耐热性强。,"钠基润滑脂"
_NSXQ_,（ ）耐水性强，但耐热性差。,"钙基润滑脂"
_RSSJG,（ ）燃烧室结构紧凑，热损失少，热效率较高,"统一式"
_SQDHT,（ ）是确定合同双方当事人权力义务关系的根本依据，也是判断合同是否有效的客观依据,"合同的内容"
_SYLDK,（ ）是用来打开或封闭气道的,"气门"
_SYYRS,（ ）属于压燃式发动机,"柴油机"
_SZCYD,（ ）是最常用的表面粗糙度的评定参数。,"轮廓算术平均偏差RA"
_SZJLJ,（ ）是指将零件按其实际尺寸大小分成若干组，然后按组进行装配。,"不完全互换"
_YGGDJ,（ ）有更高的极压抗磨性和更好的高温低温性能。,"极压复合锂基润滑脂"
_YLGBL,（ ）用来改变冷却水的循环路线及流量，自动调节冷却水温度,"节温器"
_ZDQKY,（ ）制动器可以在行车制动装置失效后应急制动,"驻车"
_ZDYSM,（ ）制动液是目前广泛应用的主要品种。,"合成型"
_ZDZZT,（ ）制动装置通常由驾驶员用手操纵,"驻车制动"
AGZJSD,ABS故障警示灯在打开点火开关或发动后（ ）表示系统正常。,"先亮后灭"
CLZJY_,CC、CD两种机油（ ）。,"使用CD机油的发动机工作条件更差一些"
EXFDJQ,EQ61100-1．型发动机汽缸有（ ）级修理尺寸。,"6"
