AZSYZY,腌制时要注意用盐量，盐太多，会压抑其它调料的味道，以腌制后口感偏淡为好。,"正确"
BCGCHS,菠菜根呈红色营养丰富，含有纤维素，不含脂肪，它的根烹调后味甜米糯，具有很好的食疗作用。因此菠菜在初加工时应尽量保留较大的根部，削去须根，留其主根供食用。,"正确"
BLDCYC,爆类的菜肴出勺时多用于扣法，即菜肴成熟、颠勺，使一部分菜肴颠入手勺，其余菜肴盛入盘内，扣上成馒头形，圆润饱满。,"正确"
BSYDJS,不使用刀具时，应将刀具放在安全、洁净、干燥的刀具架上或刀具柜内。这样既能防止生锈，又能避免刀刃损伤或伤及他人。,"正确"
BXLJYL,必须了解原料在加热过程中的变化特征，否则就很难把握加热前的各种加工技法，也不能准确地控制加热后的菜肴质量。,"正确"
CDCZCX,汆的操作程序：选料-切配-沸水或汤汆制-盛装。,"正确"
CDCZS_,菜墩操作时，要四面调节，保持墩面平整，应满刮墩面，防止凹凸不平，影响刀的进行。禁止在墩面硬砍、硬剁，以免造成墩面损坏。,"正确"
CDSYHY,菜墩使用后应洗净晾干，竖立于案板上，并用洁布罩上防止污染。,"正确"
CDSYHY,菜墩使用后应洗净晾干，竖立于案板上，并用洁布罩上，防止污染。,"正确"
CPJDCZ,脆皮鸡的操作程序：选料-初步熟处理- 抹糖-䁁干-炸制-状盘。,"正确"
CQYLZD,除去原料中的不量气味，如牛、羊的tan膻味大，加工时用油加热，使异味容于油中被去掉。,"错误"
CYCSZP,菜肴出勺装盘的要点的拖倒时勺身倾斜，一边拖倒，一边移动，迅速敏捷，干净利落。,"正确"
CYCXDG,菜肴呈现的各种色泽，主要来源于原料中固有的天然色素，其次就是调料和人工色素形成的色泽。,"正确"
CYDYLY,菜肴的用料一经确定，就具有一定的稳定性，不可随意增减、调换，每种菜肴均应根据该种菜品的主料、辅料、调料数量配比表配料。,"正确"
CYDZPS,菜肴的组配是确定了菜肴的规格质量，就确定了菜肴的价格、营养成分、烹调方法、口味、造型、色泽等。,"正确"
CYJQDC,醋有较强的除腥解腻能力，同时有杀菌防腐的作用。,"正确"
CYSCDT,菜肴色彩的调配，并非美术中的调色那么容易，多数需用加热的手段来完成。,"正确"
CYSZDJ,菜肴盛装的基本要求是要盛装的器皿大致协调，确保菜肴最佳的上菜温度，保证菜肴的基本清洁卫生，发现问题及时解决，保证菜肴的品种与食用数量，要符合时代的创新审美的观念意识。,"正确"
CYSZDQ,菜肴盛装的器皿应根据菜肴品种进行选择，盛具大小，既要与菜肴数量、形状和烹调方法相适应，也要与菜肴的色彩和宴会的档次相适应。,"正确"
CY_QZW,菜肴“清蒸武昌鱼”是利用蒸的粉蒸的烹调方法加工而成。,"错误"
CY_XSJ,菜肴“香酥鸡”是属于炸的脆炸的烹调方法。,"错误"
CZPCLZ,初做泡菜卤最好在熬制好的卤汁中加入一定量的老卤，这样能改善新泡菜的口感。,"正确"
C_J_SZ,葱、姜、蒜在甜酸味中的作用主要是：去腥、增香、提鲜，同时还可以使诸位更加柔和协调。,"正确"
