_CFKZZ,（ ）长方块中最大的形制，常用于肉的加工，如’烤酥方‘，,"烤方"
_CLHYD,（ ）除了含有多种营 养成分外，还能溶解植物纤维和动物骨刺，烹调时添加适当的它，可以加速其煮烂，并能减少维生素的损失，同时还使食物中钙，磷，铁处溶解状态。,"醋"
_CY_CY,（ ）粗约0.5cmX0.5cm，长约3.5~4.5cm，因粗如竹筷，故又称之为“筷子条”。,"细条"
_CY_CY,（ ）粗约1cmX1cm，长约3.5~4.5cm，因粗如笔杆，故又称为“笔杆条”。,"中粗条"
_CY_CY,（ ）粗约1.5cmX1.5cm，长约3.5~4.5cm，因其粗如手指，故又称之为“指条”。,"粗条"
_CYTRH,（ ）采用天然黄砂石凿 成，一般长约35cm厚约12cm。,"粗磨石"
_CYTRQ,（ ）采用天然青砂料凿 成。,"细磨石"
_DPRXW,（ ）刀平刃向外，紧贴皮层，运用推力向前使皮与肉分开。,"铲"
_DRQJY,（ ）刀刃嵌进原料1/3，以刀身作为杠杆拨开原料，料块表体有纤维的丝裂状，能提高原料对调味卤汁的吸附力。,"撬"
_DRQJY,（ ）刀刃嵌进原料，左手掌猛击刀背，截断原料的刀法。,"拍刀剁"
_DSCZ_,（ ）刀身垂直，紧压料面，作平面横向运行，适用于去除附着于原料表层的骨膜及皮层毛根，鳞片和污物。,"刮"
_DSHPM,（ ）刀身横平猛击原料，使之松裂。,"拍"
_DSYDS,（ ）刀身与刀石保持一定的锐角角度推拉研磨适用于磨制刀身厚重的砍剁刀，可以直接对刀刃进行研磨而不磨及刀身。,"翘磨"
_DSYDS,（ ）刀身与刀石贴紧，推拉研磨适用于磨制刀身平薄的批片刀。,"平磨"
_DYYDF,（ ）多用于豆腐，豆腐干，萝卜，土豆等，有等腰三角块与任意三角块两种。,"菱形块"
_DZPY_,（ ）的装盘由10种左右的冷菜原料构成，是多种冷菜原料组配的特例。,"什锦排盘"
_GGZD_,（ ）规格最大，为大菜料形，一般从水发鱼皮，魷鱼等原料上取片，用于扒，烩。,"大菱形片"
_JCYKF,（ ）仅次于烤方，为长方块中第二大形制，常用于肉的加工适用于炖，焖，如东坡肉等。,"酱方"
_JDYQ_,（ ）将刀扬起，运用小臂的力量迅速垂直向下截断原料带骨和厚皮的原料常用此法。,"砧剁"
_JJDTG,（ ）将尖刀贴骨运行，使骨与肉分离是折缷加工的专门刀法。,"剔"
_JSJJD,（ ）就是将解冻的原料放在0°-3°的条件下缓慢解冻。,"自然解冻法"
_JYDBL,（ ）借用大臂力吊将刀高扬猛击原料的刀法。,"砍刀剁"
_JYLDC,（ ）将原料叠成方正的墩，再切成丝，适用于软，嫰性原料，如豆腐等。,"叠切式"
_JYLJC,（ ）将原料卷成柱形，再切成丝，适用于对薄而韧的大张厚料的加工，如百叶等。,"卷切式"
_JYLPC,（ ）将原料铺成整齐的瓦楞形，再切成丝，肉类原料宜用此法。,"铺切式"
_JYLQJ,（ ）将原料嵌进刀刃随刀扬起剁下断离的方法，一些带骨的圆而滑的原料常用此刀法。,"跟刀剁"
_JZXP_,（ ）即正斜片，右侧角度为锐角（40°-50°）一般般来讲，运用的是拉力，故又叫“斜拉片”。,"正斜刀法"
_LTWJ_,（ ）两头微尖，中间略宽，片体较薄，形似柳叶。,"柳叶片"
_PZDCP,（ ）烹制的菜品具有干酥，香脆，外焦里嫰，色泽金黄的特点。,"水粉糊"
_SBZBC,（ ）是帮助保持体液平衡的信号，它由食盐产生，吃咸能软化体内的肿块，在剧烈呕吐，腹泻和大汗不止时，适当补充淡盐水可防止体内水，电解质紊乱。,"咸味"
_SBZRT,（ ）是保证人体不受有害物质危害的信号，它由有机碱产生，有燥湿利尿作用，但过苦则易导致消化不良症。,"苦味"
_SCFKZ,（ ）是长方块中的第小形制，形状大小如骨牌，故得名。,"骨牌块"
_SYTSH,（ ）属于碳水化合物，可提供人体生命活动的热能，是人类获得热能最主要，最经济的能源。,"糖"
_SZDRY,（ ）是指刀刃运行与原料保持水平的所有刀法。,"平刀法"
_SZDRY,（ ）是指刀刃运行与原料保持直角的一切刀法。,"直切法"
_SZFDH,（ ）是煮发的后续过程，当干料煮到一定程度时，需要改小火，微火。或将锅端离火源，盖紧盖子使温度逐渐下降，让原料从外到里全部涨发透。,"焖发"
_SZJGL,（ ）是指将干料放入水中浸泡而不再继续加热，使其慢慢泡发涨大，此法多用于形体较小，质地较嫰的干料。如香菇。,"泡发"
_SZJYL,（ ）是指将原料先用油将水分煸干，再加调料炒入味，原料不上浆，调味不勾芡的方法，是烹的一种变形。,"干煸"
_XTLCE,（ ）形体略长而窄，正反斜刀法皆可取，体壁较厚，适用于大菜。,"长条片"
_XY_CY,（ ）细约0.3cmX0.3cm，长约4.5~5.5cm，因细如绒线故又称之为“绒线丝”，用于炒，烩，汆等。,"粗丝"
_XY_CY,（ ）细约0.15cmX0.15cm，长约4.5~5.5cm，因细如火柴梗，故又称之为“火柴梗子丝”，收缩较小具有一定韧性的原料宜切此形。,"中细丝"
_XY_YX,（ ）细约0.1cmX0.1cm以下，长约4.5~5.5cm，因细如麻丝，可以穿针 眼，故又称之为“麻线丝”。,"二细丝"
_YBLS_,（ ）一般来说，采用平推翘拉的磨法，平推是对刀板磨制，能保持平滑，翘磨是指直接对刀刃磨制，但又不损伤刀刃。,"平翘结合磨"
_YLDPB,（ ）原料的配比是淀粉55%，水45%。,"水粉糊"
_YYPDD,（ ）运用排剁的方法，但又不将原料断离，仅使之骨折，筋断肉质疏松的方法。,"排法"
_YYTLD,（ ）运用推拉的方法悬空将肉的某 一部分从整体取下。,"割"
_YYTZJ,（ ）用于体质坚硬，厚大而带有重腥臊气味的干料如，鱼翅。,"煮发"
_ZCYZY,（ ）指菜肴中有主料和铺料，并按一定的比例构成，其中主料一般为动物性原料，铺料一般为植物性原料。,"主铺料菜肴的组配"
_ZDSKY,（ ）中的酸可以与肉类中一些异味的成分结合，形成不易挥发的成分，从而抑制肉类原料发出腥，膻 味。,"食醋"
_ZLCPY,（ ）这类菜品一般采用最后投放调味料的调味法，即在原料经过熟制处理以后，在成菜前投放调味料定味。,"炖，煨"
_ZSCJS,（ ）则是刺激食欲的信号，它由辣椒碱产生，吃辣食可消除体内气滞，血滞等症状。,"辣味"
_ZWGNF,（ ）在我国南方地区使用十分普遍，特别是运用酱油作为咸味剂的菜品，经常以咸甜味的形式出现，如酱爆，红烧，卤酱，红扒等。,"咸甜味"
_ZZKRD,（ ）在整块肉的肉面，有规则切片或切块，且皮仍保持完整的刀法。,"吞刀"
_ZQLS_, （ ）在切料时，一边进刀刃，一边将原料相应滚动，原料每滚动一次，刀做一次直切，也可滚动一次直切数次。,"滚料切"
_DSYCJ, （ ）刀身一側紧压原料，斜刀平面推进，将原料 碾压成茸泥。,"塌"
_ZTSWZ, （ ）在甜酸味中起底味作用，目的是保证菜品有一个基本的口味，调味时要严格控制好它的用量，因为咸味的轻重会引起甜味和酸味的变化。,"盐"
_SXCDX, （ ）是新陈代谢加速的信号，它由有机孙产生，食之可增强肝脏功能，对防治某些肝病有益处，但食之过多会引起消化功能紊乱。,"酸味"
_SYDRZ, （ ）时运刀如铡刀切草，它是切刀法的特殊刀法，刀刃垂直平起平落称直铡法，适用于薄壳原料，如螃蟹，熟鸭蛋等。,"铡切"
_CYZ_Z, （ ）菜肴中 主料品种的数量为两种以上或两种，无任何铺料之别，每种主料的重量基本相同。,"多种主料菜肴的组配"
_LXYCZ, 料形又称正三角块，即三角块的两腰边长相等，边长不超过3cm，块面平整的 （ ），常用于豆腐皮及豆腐干。,"等腰三角块"
_YCBQX, 又称半球形冷菜，（ ）是冷菜中最常用的一种装盘形式，冷菜原料在盘中形成中间高，周围较低的半球形。,"馒头式"
BGLFZR,把干料放在热水中，用各种加热的方法促使原料加速吸收水分，成为松软嫰滑的全熟或半熟的半成品叫做（ ）。,"热水发"
BS_GSY,拔丝，挂霜一类的菜品是以蔗糖调配而成，形成了（ ）味型的菜肴。,"甜香味"
BZBCTY,帮助保持体液平衡的信号的（ ）由食盐产生，它能软化体内的肿块，在剧烈呕吐，腹泻和大汗不止时适当的补充它可防止体内水，电解质紊乱。,"咸味"
BZRTBS,保证人体不受有害物质危害的信号 的（ ），它由有机碱产生，有燥湿利尿作用，但过苦则易导致消化不良症。,"苦味"
BZW_HZ,白汁味，红汁味，麻酱味，卤味，蟹肉味，虾子味属于（ ）味型。,"咸鲜味"
BZW_HZ,白汁味，红汁味，麻酱味，卤香味，蟹肉味，吓子味属于（ ）复合味型。,"咸鲜味"
B_C_Z_,爆，炒，炸，煎类菜品盛装的餐具以（ ）。形状可以是椭圆形盘，腰形盘等。,"平盘"
CCD_JD,川菜的“鸡豆花”选用鸡的（ ）来制作。,"鸡脯"
CCHGRS,川菜回锅肉是属于（ ）的烹调方法。,"熟炒"
CC_FRJ,川菜“芙蓉鸡片”选用鸡的（ ）为原料制作而成。,"鸡脯"
CDWSZY,醋的卫生作用是（ ）。,"抑菌杀菌"
CFKZSZ,长方块中是最大的形制（ ），常用于肉的加工，如“烤酥方”。,"烤方"
CGFYSR,炒锅放油烧热→葱姜蒜煸香→加水，糖，盐熬制→加入醋→用湿淀粉勾芡→淋入热油拌均匀是（ ）的调配方法。,"酸甜味-糖醋味"
CGFYSR,炒锅放油烧热→葱，姜，蒜煸香→加水，糖，盐熬制→加入醋→用湿淀粉勾芡→淋入热油拌匀是（ ）的调配方法。,"糖醋味"
CJSYDX,刺激食欲的信号的（ ）由辣椒碱产生，吃辣食可消除体内气滞，血滞等症状。,"辣味"
CKYQD_,醋可以起到（ ）的作用。,"抑菌杀菌"
CPJDGY,脆皮鸡的工艺流程是（ ）。,"选料—初步热处理——抹糖浆—晾干—炸制—装盘"
CPYBCY,菜品一般采用分次加入调味料定味烹调方法的（ ），即将调味料按菜品的要求分别投入到菜品中进行调味。,"烧、煮、烩"
CSJJRD,长时间加热蛋白质产生一些低聚肽，容易被人体消化吸收，消化率为（ ）的鸡蛋是没加热生食。,"0.35"
CSJJRD,长时间加热蛋白质会产生一些低聚钛，容易被人体消化吸收，鸡蛋搅拌炒制后有（ ）的消化率。,"0.97"
CSJJRD,长时间加热的蛋白质会产生一些低聚钛，容易被人体消化吸收，达到消化率为（ ）鸡蛋应带壳煮熟。,"1"
CTLRZZ,传统腊肉制作季节主要在农历的（ ），因此制作的腊制品习惯以腊肉名称。,"腊月"
CXDZSC,菜心的焯水处理方法（ ）。,"热水预熟法"
CXDZSS,菜心的焯水属于（ ）处理,"沸水预熟法"
CXW_GH,纯香味、桂花糖味、蜜饯味、薄荷味、麻糖味属于复合味的（ ）味型。,"甜香味"
CY_CY_,粗约0.5cmx0.5cm，长约3.5－4，5cm见方的（ ），因粗如竹筷，故又称为“筷子条”。,"细条"
CY_CY_,粗约1cmx1cm，长约3，5-4.5cm的（ ），因粗如笔杆，故又称之为“笔杆条”。,"中粗条"
CY_CY_,粗约1.5cmx1.5cm，长约3.5-4，5cm的（ ）因粗如手指，故又称”指条“,"粗条"
CYTRHS,采用天然黄砂料凿成的（ ），一般长约35cm，厚约12cm，这种磨石颗粒粗，质地松而硬，常用于新刀刃或磨有缺口的刀。,"粗磨刀石"
CYTRQS,采用天然青砂石料凿成，形状类似粗磨石的（ ），这种磨石颗粒细腻、质地坚实，能将刀磨快而不伤刀刃，应用较广。,"细磨石"
CYZXJS,菜肴造型就是将加工整理的原料，通过合理的成型和加工手法塑造出（ ）和谐美丽的形态。,"完整统一"
