AGFYQD,按规范要求对钢管和扣件等材料进行检查验收，不符合质量要求的材料不得使用。,"正确"
BFSDSZ,变幅速度是指起重臂由最小幅度到最大幅度的平均线速度。,"错误"
BPSTSW,半剖视图上外形视图和剖视图的分界线应是中心线，应画成粗实线。,"错误"
BZYZJJ,不准用直径较小的的绳索捆绑小设备或构件。,"错误"
CCJSJS,拆除脚手架时，可将拆下的各构、配件直接抛至地面。,"错误"
CTBDZW,除特别吊装外，一般应使用横销无螺纹的卸扣。,"错误"
CYMDDD,常用密度的单位为g/m3,"错误"
DCDGJH,对称的构件或零件，其对称部分可省略不画。,"正确"
DDJYJA,电动卷扬机安装的好坏，直接影响到设备的安全使用和吊装搬运的可靠性。,"正确"
DDJYJC,电动卷扬机操作人员必须经过培训，持证上岗。,"正确"
DDZJSQ,当吊装减速器齿轮时，一般应先吊大齿轮。,"错误"
DELGG_,第二类杠杆，重力点在支点和力点之间，属于省力杠杆。,"正确"
DGBXYH,吊钩必须有合格证，否则任何情况下都不能使用。,"错误"
DGDMSZ,断股的麻绳在修复的情况下可以继续使用。,"错误"
DGZSYG,吊钩在使用过程中，可对缺陷进行补焊。,"错误"
DHLBNS,定滑轮不能省力。,"正确"
DJYJDQ,当卷扬机的牵引力一定时，滑轮的轮数越多，速比越大，起吊能力也越强。,"正确"
DQYBTZ,电气仪表图主要表示电气、仪表线路的走向和具体安装要求等。,"正确"
DWGSYS,当桅杆使用时间较长时，应对揽风绳进行定期检查和保养。,"正确"
DWTYNS,当物体沿逆时针方向转动时产生的力矩为负值。,"错误"
DXHLTD,导向滑轮同定滑轮一样，只能改变钢丝绳的走向。,"正确"
DYJHXZ,对于几何形状不规则的物体，其面积无法通过计算得到。,"错误"
DYLZJD,当压力增加到超过某一定的限度时，杆件就不能保持直线状态，而会突然从原来的直线状态变成曲线状态，这种现象叫失去稳定性。,"正确"
DYWFYS,对于卧放运输的细长套管，在竖立安放时，必须将套管在空中翻竖，在翻竖的过程中，套管的任何一点均能着地。,"错误"
DYWTYZ,当一物体沿着另一物体表面滑动时，所产生的摩擦叫滚动摩擦。,"错误"
DYXXCQ,对于需现场确定吊点的设备、构件，在选择吊点时，要使吊点或吊点连线与重心铅垂线的交点在重心之上。,"正确"
DZGCZ_,吊装过程中，要设置工作警戒标志，非作业人员不得进入作业区。,"正确"
DZJCLS,吊装机床类设备时，要尽量利用制造厂家已设置的吊耳、挂耳及起吊钩等进行吊装。,"正确"
GCSJDG,工程上仅对钢丝绳的抗拉强度作近似计算。,"正确"
GDS_JK,滚动时，仅可使用人力牵引。,"错误"
GGBYS_,滚杠搬运时，滚杠一般采用焊缝钢管。,"错误"
GGDZLA,杠杆的种类按支点、力点、重力点的相互位置不同可分为四类。,"错误"
GGGGGG,滚杠钢管规格为Φ89×4.5，则其每根长度为2000mm。,"正确"
GHZXFS,滚行装卸法是利用滚动摩擦原理进行作业的。,"正确"
GSSDWQ,钢丝绳的弯曲次数越多就越影响绳的疲劳强度，即影响钢丝绳的使用寿命。,"正确"
GSSLJT,钢丝绳连接通常有短接法和长接法两种。,"错误"
GSSNRG,钢丝绳捻绕过程中钢丝的挠曲越大，每股钢丝同心层越多，则其强度损失越大。,"正确"
GSSPDQ,钢丝绳破断前没有明显预兆。,"错误"
GSSSLH,钢丝绳受力后，只要绳夹不走动，可不对绳夹进行二次拧紧。,"错误"
GSSSYH,钢丝绳使用后损坏情况复杂，但仍可准确进行强度计算。,"错误"
