LXGDSL,LQ型固定式螺旋千斤顶由（ ）组成。,"棘轮组","大小锥齿轮","升降套筒","锯齿形螺杆"
AGJYGB,按国家有关标准规定，剖视图有（ ）。,"全剖视图","半剖视图","局部剖视图"
AZWGSD,安装桅杆时都要对缆风绳的长短（松紧）进行调整，常用的调整方法有（ ）。,"螺旋扣调整","手拉葫芦调整","滑轮组配合卷扬机调整"
BNHZDQ,不能回转的起重机有（ ）。,"绳索式起重机","桥式起重机","门式起重机"
BXDJBX,变形的基本形式有（ ）。,"压缩","拉伸","弯曲","扭转"
CLLXDZ,材料力学的主要任务就是研究构件的（ ）问题。,"强度","刚度","稳定性"
CYDJSW,常用的金属桅杆有（ ）。,"管式桅杆","人字桅杆","三脚架","龙门桅杆"
CYDLYF,常用的利用辅助桅杆竖立桅杆的方法有（ ）。,"滑移竖立法","旋转竖立法","倒杆竖立法"
CYDXJZ,常用的系结重物的方法有（ ）。,"兜法","锁法","捆绑法","栓法"
DDJYJD,电动卷扬机的固定通常有（ ）。,"固定基础法","平衡重法","地锚法"
DGJLDS,当杆件两端受到（ ）的一对力偶作用时，会发生扭转变形。,"大小相等","方向相反","作用面垂直于杆轴线"
DMDXSY,地锚的形式一般有（ ）。,"半埋式地锚","立式地锚","卧式地锚"
DSDCJF,吊索的插接方法有（）。,"一进一","一进四"
DTQJDT,多台千斤顶同时顶升同一物件时，要（ ）。,"专人统一指挥","动作要一致","同起同落"
DYYGCJ,对于一个初级起重工来说，很有必要掌握一些简单物体的（ ）等的计算方法。,"面积","体积","质量"
DZZSBH,吊装在设备或构件安装中通常分为（ ）。,"整体吊装","分体吊装","综合吊装"
GCSJMC,工程上将摩擦分为（ ）。,"滑动摩擦","滚动摩擦"
GCZCJD,工程中常见的几何形状有（ ）。,"四边形","圆形","三角形"
GCZCYD,工程中常用的三视图为（ ）。,"主视图","俯视图","左视图"
GSSAJG,钢丝绳按结构可分为（ ）。,"闭合式","复杂式","普通式"
GSSANZ,钢丝绳按捻制方法不同，可分为（ ）。,"同向捻","交互捻","混合捻"
GSSASX,钢丝绳按绳芯材料不同，可分为（ ）。,"麻芯","石棉芯","钢丝芯"
GSSCZX,钢丝绳存在下列情况时，应予及时报废：（ ）。,"表面有明显锈蚀、麻面","一股折断","扭结、折弯处产生塑性变形","绳芯明显增大或脱出"
GSSDPD,钢丝绳的破断力与（ ）有关。,"质量","捻制结构"
GSSSXZ,钢丝绳绳芯中的油能够（ ）。,"减小钢丝间的摩擦力","增加钢丝绳的挠度和弹性","防止钢丝绳生锈"
GSSZSY,钢丝绳在使用过程当中不能（ ）。,"呈锐角曲折","重压","砸成扁平","扭结"
HDDMSG,活动地锚施工方便，其优点为（ ）。,"可采用机械化施工","能减轻劳动强度","装拆迅速"
HLALJF,滑轮按连接方式分为（ ）。,"吊钩式","链环式","吊环式","吊梁式"
HLASYF,滑轮按使用方法分为（ ）。,"定滑轮","动滑轮","动、定滑轮组"
JDGSSY,截断钢丝绳应采用（ ）等方法。,"铡刀","钢锯","气割"
