_GSSYB,（）钢丝绳一般用于滑轮组和吊索（千斤绳）以及绑扎起吊重物等。,"6×61+1"
_SZDBQ,（ ）是指动臂起重设备的转动中心线至被吊物体中心线的水平距离。,"幅度"
_SZQDS,（ ）是指起吊设备额定载荷的质量。,"起重量"
_TDDDZ,（ ）塔吊的底座固定在轨道或地面上。,"固定式"
_TDYBS,（ ）塔吊一般适应多层民用建筑施工。,"轻型"
_YYMSX,（ ）用于麻绳需要迅速解开的场合。,"活接"
_YYZWD,（ ）用于重物吊装捆绑，结扣方便、牢固、安全。,"死结"
CXDDHL,CD1型电动葫芦的起升速度为（ ）m/min。,"8"
KXLDSQ,KH100型履带式起重机的最大起重量为（ ）t。,"30"
KXLDSQ,KH100型履带式起重机主臂全长（ ）m。,"37"
QXLTSQ,QLD16型轮胎式起重机不使用支腿起吊时，其起重量最大为（ ）t。,"6.7"
QXLTSQ,QLD16型轮胎式起重机使用支腿起吊时，其起重量最大为（ ）t。,"16"
BGCYHZ,不管采用何种方法运输设备，正确选择（ ）很重要，它关系到运输的效率、成本和安全性。,"运输线路"
BGDWW_,标高单位为（ ）。,"m"
BJSSSB,扳就是使设备、构件在（ ）的作用下，绕底部或铰链旋转竖起直至就位。,"外力"
BJSYQG,拨就是用撬棍撬起需要变动角度或移动的重物，然后使撬棍尾部作（ ）摆动，使其绕支点移动，达到使物体移动和转动的目的。,"横向"
BYBYY_,拨一般用于（ ）的设备和构件的小角度扭转和短距离移动，操作比较简单。,"较轻"
BZSSY_,白棕绳是以（ ）为原料制成的。,"剑麻"
CCSWGS,拆除双桅杆时，滑轮组一般绑扎固定于第一根桅杆的（ ）高度处，桅杆底部加封绳，以防滑动。,"2/3"
CYECKB,采用二次捆绑翻转法，第一次捆绑后，先把柱子翻转（ ）°，再进行第二次捆绑吊装。,"90"
CYQS_D,采用撬时，当支点、力点和重力点的相对（ ）不同时，产生的效果也就不同。,"位置"
CYSRZW,采用双人字桅杆抬吊工艺，可起吊（ ）的设备，而且操作比较安全、稳当。,"重而高"
CYSSYH,采用双速运行的电动葫芦是（ ）型。,"MD"
CYXZFH,采用旋转法或扳倒法竖立设备时，都必须有严密的施工方案和有专人指挥，并必须严格使用好设备两侧的（ ），防止设备在竖立过程中发生歪斜和倾倒。,"控制绳"
DBBFST,动臂变幅式塔吊是通过改变吊臂的（ ）大小来变幅的。,"俯仰角度"
DDHLDD,电动葫芦的电动机出厂时轴向移动量已调到（ ）mm左右，在使用中，它将随着制动环的磨损而逐渐加大。,"1.5"
DDHLDJ,电动葫芦的卷筒位于设备的（ ）。,"中央"
DDJYDJ,电动卷扬的卷筒与选用的钢丝绳直径应当匹配，通常卷筒直径应为钢丝绳直径的（ ）倍。,"16~25"
DDJYJG,电动卷扬机固定基础法适合于（ ）使用的地方。,"长期"
DDJYJQ,电动卷扬机起吊时，卷筒上的钢丝绳余留圈数应不少于（ ）圈。,"3"
DDJYJY,电动卷扬机用完后，要切断电源，将控制器放到（ ）。,"零位"
DDQDS_,单点起吊时，绑扎点应该设在梁的（ ）位置。,"重心"
DDZQZJ,多动作起重机可以完成（ ）方面以上的运动。,"三个"
DFDZS_,兜法吊装时，一般两吊索之间的夹角以（ ）°左右为宜，设备也不宜太重或太长。,"60"
DGDKKD,吊钩的开口度比原尺寸增大（ ）%，应报废。,"15"
DGGPHS,当杠杆平衡时力与力臂的乘积等于重力与重力臂的乘积，这就是（ ）原理。,"杠杆"
DGYDHS,吊钩与吊环是起重作业中最常用的（ ）。,"吊具"
DHDWXS,吊环的外形是一个（ ）的圆环,"封闭"
DHYBY_,吊环一般与（ ）配合使用。,"卸扣"
DJHZXB,当进行直线搬运时，滚杠位置应（ ）于搬运方向。,"垂直"
DJJSWG,独脚金属桅杆常采用（ ）根揽风绳。,"5~8"
